root@vSRX> show security dynamic-address address-name AWS_ALL_IPs
No.     IP-start             IP-end               Feed             Address
1       3.0.0.0              3.0.5.31             AWS_ALL          AWS_ALL_IPs
2       3.0.5.32             3.0.5.39             AWS_ALL          AWS_ALL_IPs
3       3.0.5.40             3.1.255.255          AWS_ALL          AWS_ALL_IPs
4       3.5.0.0              3.5.63.255           AWS_ALL          AWS_ALL_IPs
5       3.5.64.0             3.5.71.255           AWS_ALL          AWS_ALL_IPs
6       3.5.72.0             3.5.73.255           AWS_ALL          AWS_ALL_IPs
7       3.5.76.0             3.5.79.255           AWS_ALL          AWS_ALL_IPs
8       3.5.80.0             3.5.87.255           AWS_ALL          AWS_ALL_IPs
9       3.5.128.0            3.5.131.255          AWS_ALL          AWS_ALL_IPs
10      3.5.132.0            3.5.133.255          AWS_ALL          AWS_ALL_IPs
11      3.5.134.0            3.5.135.255          AWS_ALL          AWS_ALL_IPs
12      3.5.136.0            3.5.139.255          AWS_ALL          AWS_ALL_IPs
13      3.5.140.0            3.5.143.255          AWS_ALL          AWS_ALL_IPs
14      3.5.144.0            3.5.145.255          AWS_ALL          AWS_ALL_IPs
15      3.5.146.0            3.5.147.255          AWS_ALL          AWS_ALL_IPs
16      3.5.148.0            3.5.151.255          AWS_ALL          AWS_ALL_IPs
17      3.5.152.0            3.5.159.255          AWS_ALL          AWS_ALL_IPs
18      3.5.160.0            3.5.163.255          AWS_ALL          AWS_ALL_IPs
19      3.5.164.0            3.5.167.255          AWS_ALL          AWS_ALL_IPs
20      3.5.168.0            3.5.169.255          AWS_ALL          AWS_ALL_IPs
21      3.5.208.0            3.5.211.255          AWS_ALL          AWS_ALL_IPs
22      3.5.212.0            3.5.213.255          AWS_ALL          AWS_ALL_IPs
23      3.5.216.0            3.5.219.255          AWS_ALL          AWS_ALL_IPs
24      3.5.220.0            3.5.223.255          AWS_ALL          AWS_ALL_IPs
25      3.5.224.0            3.5.227.255          AWS_ALL          AWS_ALL_IPs
26      3.5.228.0            3.5.231.255          AWS_ALL          AWS_ALL_IPs
27      3.5.232.0            3.5.235.255          AWS_ALL          AWS_ALL_IPs
28      3.5.236.0            3.5.239.255          AWS_ALL          AWS_ALL_IPs
29      3.5.240.0            3.5.243.255          AWS_ALL          AWS_ALL_IPs
30      3.5.244.0            3.5.247.255          AWS_ALL          AWS_ALL_IPs
31      3.5.248.0            3.5.251.255          AWS_ALL          AWS_ALL_IPs
32      3.5.252.0            3.5.255.255          AWS_ALL          AWS_ALL_IPs
33      3.6.0.0              3.6.70.75            AWS_ALL          AWS_ALL_IPs
34      3.6.70.76            3.6.70.79            AWS_ALL          AWS_ALL_IPs
35      3.6.70.80            3.6.70.127           AWS_ALL          AWS_ALL_IPs
[...]
3079    2a05:d07e:2000::     2a05:d07e:20ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3080    2a05:d07e:4000::     2a05:d07e:40ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3081    2a05:d07e:6000::     2a05:d07e:60ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3082    2a05:d07e:8000::     2a05:d07e:80ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3083    2a05:d07e:a000::     2a05:d07e:a0ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3084    2a05:d07e:c000::     2a05:d07e:c0ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3085    2a05:d07e:e000::     2a05:d07e:e0ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3086    2a05:d07f:2000::     2a05:d07f:20ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3087    2a05:d07f:4000::     2a05:d07f:40ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3088    2a05:d07f:6000::     2a05:d07f:60ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3089    2a05:d07f:8000::     2a05:d07f:80ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3090    2a05:d07f:a000::     2a05:d07f:a0ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3091    2a05:d07f:c000::     2a05:d07f:c0ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
3092    2a05:d07f:e000::     2a05:d07f:e0ff:ffff:ffff:ffff:ffff:ffff AWS_ALL AWS_ALL_IPs
